"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"Arabako Ibarrak / Valles Alaveses";"Producción y distribución de energía electrica, gas y agua";"2006";18
"Arabako Ibarrak / Valles Alaveses";"Producción y distribución de energía electrica, gas y agua";"2011";36
"Arabako Ibarrak / Valles Alaveses";"Producción y distribución de energía electrica, gas y agua";"2016";56
"Arabako Ibarrak / Valles Alaveses";"Construcción";"1996";64
"Arabako Ibarrak / Valles Alaveses";"Construcción";"2001";157
"Arabako Ibarrak / Valles Alaveses";"Construcción";"2006";242
"Arabako Ibarrak / Valles Alaveses";"Construcción";"2011";219
"Arabako Ibarrak / Valles Alaveses";"Construcción";"2016";182
"Arabako Ibarrak / Valles Alaveses";"Comercio y reparación";"1996";131
"Arabako Ibarrak / Valles Alaveses";"Comercio y reparación";"2001";200
"Arabako Ibarrak / Valles Alaveses";"Comercio y reparación";"2006";364
"Arabako Ibarrak / Valles Alaveses";"Comercio y reparación";"2011";307
"Arabako Ibarrak / Valles Alaveses";"Comercio y reparación";"2016";255
"Arabako Ibarrak / Valles Alaveses";"Hostelería";"1996";82
"Arabako Ibarrak / Valles Alaveses";"Hostelería";"2001";116
"Arabako Ibarrak / Valles Alaveses";"Hostelería";"2006";127
"Arabako Ibarrak / Valles Alaveses";"Hostelería";"2011";179
"Arabako Ibarrak / Valles Alaveses";"Hostelería";"2016";141
"Arabako Ibarrak / Valles Alaveses";"Transporte, almacenamiento y comunicaciones";"1996";103
"Arabako Ibarrak / Valles Alaveses";"Transporte, almacenamiento y comunicaciones";"2001";139
"Arabako Ibarrak / Valles Alaveses";"Transporte, almacenamiento y comunicaciones";"2006";140
"Arabako Ibarrak / Valles Alaveses";"Transporte, almacenamiento y comunicaciones";"2011";156
"Arabako Ibarrak / Valles Alaveses";"Transporte, almacenamiento y comunicaciones";"2016";177
"Arabako Ibarrak / Valles Alaveses";"Intermediación financiera";"1996";22
"Arabako Ibarrak / Valles Alaveses";"Intermediación financiera";"2001";23
"Arabako Ibarrak / Valles Alaveses";"Intermediación financiera";"2006";36
"Arabako Ibarrak / Valles Alaveses";"Intermediación financiera";"2011";41
"Arabako Ibarrak / Valles Alaveses";"Intermediación financiera";"2016";28
